"Plot Title: H5"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9695064)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
06/05/2019 08:09:10 AM,26.231,,,,
06/05/2019 08:09:27 AM,,Logged,,,
06/05/2019 09:09:10 AM,24.460,,,,
06/05/2019 10:09:10 AM,21.246,,,,
06/05/2019 11:09:10 AM,19.008,,,,
06/05/2019 12:09:10 PM,21.223,,,,
06/05/2019 01:09:10 PM,21.676,,,,
06/05/2019 02:09:10 PM,21.987,,,,
06/05/2019 03:09:10 PM,20.150,,,,
06/05/2019 04:09:10 PM,19.008,,,,
06/05/2019 05:09:10 PM,14.960,,,,
06/05/2019 06:09:10 PM,12.992,,,,
06/05/2019 07:09:10 PM,11.321,,,,
06/05/2019 08:09:10 PM,9.287,,,,
06/05/2019 09:09:10 PM,7.569,,,,
06/05/2019 10:09:10 PM,6.636,,,,
06/05/2019 11:09:10 PM,5.385,,,,
06/06/2019 12:09:10 AM,4.895,,,,
06/06/2019 01:09:10 AM,4.298,,,,
06/06/2019 02:09:10 AM,3.985,,,,
06/06/2019 03:09:10 AM,3.617,,,,
06/06/2019 04:09:10 AM,3.380,,,,
06/06/2019 05:09:10 AM,3.195,,,,
06/06/2019 06:09:10 AM,3.116,,,,
06/06/2019 07:09:10 AM,3.274,,,,
06/06/2019 08:09:10 AM,3.354,,,,
06/06/2019 09:09:10 AM,3.538,,,,
06/06/2019 10:09:10 AM,4.011,,,,
06/06/2019 11:09:10 AM,15.294,,,,
06/06/2019 12:09:10 PM,22.274,,,,
06/06/2019 01:09:10 PM,26.158,,,,
06/06/2019 02:09:10 PM,26.378,,,,
06/06/2019 03:09:10 PM,23.352,,,,
06/06/2019 04:09:10 PM,20.698,,,,
06/06/2019 05:09:10 PM,20.031,,,,
06/06/2019 06:09:10 PM,15.652,,,,
06/06/2019 07:09:10 PM,11.807,,,,
06/06/2019 08:09:10 PM,8.916,,,,
06/06/2019 09:09:10 PM,7.670,,,,
06/06/2019 10:09:10 PM,6.839,,,,
06/06/2019 11:09:10 PM,6.357,,,,
06/07/2019 12:09:10 AM,6.763,,,,
06/07/2019 01:09:10 AM,6.661,,,,
06/07/2019 02:09:10 AM,5.539,,,,
06/07/2019 03:09:10 AM,5.898,,,,
06/07/2019 04:09:10 AM,5.591,,,,
06/07/2019 05:09:10 AM,4.818,,,,
06/07/2019 06:09:10 AM,4.298,,,,
06/07/2019 07:09:10 AM,4.037,,,,
06/07/2019 08:09:10 AM,4.402,,,,
06/07/2019 09:09:10 AM,4.376,,,,
06/07/2019 10:09:10 AM,4.662,,,,
06/07/2019 11:09:10 AM,15.915,,,,
06/07/2019 12:09:10 PM,22.681,,,,
06/07/2019 01:09:10 PM,26.940,,,,
06/07/2019 02:09:10 PM,26.720,,,,
06/07/2019 03:09:10 PM,23.833,,,,
06/07/2019 04:09:10 PM,21.795,,,,
06/07/2019 05:09:10 PM,20.579,,,,
06/07/2019 06:09:10 PM,16.129,,,,
06/07/2019 07:09:10 PM,12.509,,,,
06/07/2019 08:09:10 PM,9.977,,,,
06/07/2019 09:09:10 PM,8.792,,,,
06/07/2019 10:09:10 PM,7.795,,,,
06/07/2019 11:09:10 PM,7.116,,,,
06/08/2019 12:09:10 AM,6.535,,,,
06/08/2019 01:09:10 AM,6.179,,,,
06/08/2019 02:09:10 AM,6.051,,,,
06/08/2019 03:09:10 AM,5.668,,,,
06/08/2019 04:09:10 AM,5.282,,,,
06/08/2019 05:09:10 AM,5.076,,,,
06/08/2019 06:09:10 AM,5.050,,,,
06/08/2019 07:09:10 AM,4.921,,,,
06/08/2019 08:09:10 AM,5.024,,,,
06/08/2019 09:09:10 AM,5.282,,,,
06/08/2019 10:09:10 AM,5.719,,,,
06/08/2019 11:09:10 AM,16.701,,,,
06/08/2019 12:09:10 PM,22.729,,,,
06/08/2019 01:09:10 PM,26.598,,,,
06/08/2019 02:09:10 PM,24.605,,,,
06/08/2019 03:09:10 PM,23.713,,,,
06/08/2019 04:09:10 PM,21.390,,,,
06/08/2019 05:09:10 PM,20.293,,,,
06/08/2019 06:09:10 PM,16.034,,,,
06/08/2019 07:09:10 PM,13.377,,,,
06/08/2019 08:09:10 PM,10.712,,,,
06/08/2019 09:09:10 PM,9.928,,,,
06/08/2019 10:09:10 PM,9.040,,,,
06/08/2019 11:09:10 PM,8.519,,,,
06/09/2019 12:09:10 AM,8.070,,,,
06/09/2019 01:09:10 AM,7.619,,,,
06/09/2019 02:09:10 AM,7.318,,,,
06/09/2019 03:09:10 AM,7.494,,,,
06/09/2019 04:09:10 AM,6.940,,,,
06/09/2019 05:09:10 AM,6.990,,,,
06/09/2019 06:09:10 AM,6.585,,,,
06/09/2019 07:09:10 AM,5.924,,,,
06/09/2019 08:09:10 AM,7.041,,,,
06/09/2019 09:09:10 AM,8.941,,,,
06/09/2019 10:09:10 AM,9.163,,,,
06/09/2019 11:09:10 AM,10.638,,,,
06/09/2019 12:09:10 PM,13.930,,,,
06/09/2019 01:09:10 PM,21.413,,,,
06/09/2019 02:09:10 PM,23.954,,,,
06/09/2019 03:09:10 PM,23.160,,,,
06/09/2019 04:09:10 PM,20.674,,,,
06/09/2019 05:09:10 PM,19.103,,,,
06/09/2019 06:09:10 PM,15.031,,,,
06/09/2019 07:09:10 PM,12.413,,,,
06/09/2019 08:09:10 PM,10.001,,,,
06/09/2019 09:09:10 PM,8.693,,,,
06/09/2019 10:09:10 PM,7.594,,,,
06/09/2019 11:09:10 PM,6.788,,,,
06/10/2019 12:09:10 AM,6.077,,,,
06/10/2019 01:09:10 AM,5.591,,,,
06/10/2019 02:09:10 AM,5.076,,,,
06/10/2019 03:09:10 AM,4.895,,,,
06/10/2019 04:09:10 AM,4.584,,,,
06/10/2019 05:09:10 AM,4.194,,,,
06/10/2019 06:09:10 AM,3.854,,,,
06/10/2019 07:09:10 AM,3.433,,,,
06/10/2019 08:09:10 AM,3.459,,,,
06/10/2019 09:09:10 AM,3.643,,,,
06/10/2019 10:09:10 AM,4.194,,,,
06/10/2019 11:09:10 AM,15.748,,,,
06/10/2019 12:09:10 PM,22.609,,,,
06/10/2019 01:09:10 PM,25.695,,,,
06/10/2019 02:09:10 PM,25.623,,,,
06/10/2019 03:09:10 PM,22.705,,,,
06/10/2019 04:09:10 PM,20.317,,,,
06/10/2019 05:09:10 PM,19.413,,,,
06/10/2019 06:09:10 PM,14.912,,,,
06/10/2019 07:09:10 PM,12.243,,,,
06/10/2019 08:09:10 PM,9.509,,,,
06/10/2019 09:09:10 PM,8.145,,,,
06/10/2019 10:09:10 PM,7.167,,,,
06/10/2019 11:09:10 PM,6.281,,,,
06/11/2019 12:09:10 AM,5.949,,,,
06/11/2019 01:09:10 AM,5.282,,,,
06/11/2019 02:09:10 AM,4.973,,,,
06/11/2019 03:09:10 AM,4.766,,,,
06/11/2019 04:09:10 AM,4.428,,,,
06/11/2019 05:09:10 AM,4.115,,,,
06/11/2019 06:09:10 AM,3.932,,,,
06/11/2019 07:09:10 AM,3.854,,,,
06/11/2019 08:09:10 AM,3.958,,,,
06/11/2019 09:09:10 AM,4.272,,,,
06/11/2019 10:09:10 AM,4.558,,,,
06/11/2019 11:09:10 AM,15.605,,,,
06/11/2019 12:09:10 PM,21.915,,,,
06/11/2019 01:09:10 PM,25.598,,,,
06/11/2019 02:09:10 PM,26.329,,,,
06/11/2019 03:09:10 PM,22.345,,,,
06/11/2019 04:09:10 PM,20.246,,,,
06/11/2019 05:09:10 PM,19.246,,,,
06/11/2019 06:09:10 PM,15.270,,,,
06/11/2019 07:09:10 PM,12.364,,,,
06/11/2019 08:09:10 PM,9.854,,,,
