"Plot Title: P21"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9761956)","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","End Of File"
05/02/2017 12:29:01 PM,24.315,,,,,
05/02/2017 12:29:06 PM,,Logged,,,,
05/02/2017 12:51:22 PM,,,Logged,Logged,,
05/02/2017 12:51:32 PM,,Logged,,,,
05/02/2017 01:29:01 PM,24.388,,,,,
05/02/2017 02:29:01 PM,24.774,,,,,
05/02/2017 03:29:01 PM,24.823,,,,,
05/02/2017 04:29:01 PM,24.919,,,,,
05/02/2017 05:29:01 PM,24.968,,,,,
05/02/2017 06:29:01 PM,24.726,,,,,
05/02/2017 07:29:01 PM,24.460,,,,,
05/02/2017 08:29:01 PM,24.195,,,,,
05/02/2017 09:29:01 PM,23.905,,,,,
05/02/2017 10:29:01 PM,23.641,,,,,
05/02/2017 11:29:01 PM,23.376,,,,,
05/03/2017 12:29:01 AM,23.184,,,,,
05/03/2017 01:29:01 AM,22.992,,,,,
05/03/2017 02:29:01 AM,22.848,,,,,
05/03/2017 03:29:01 AM,22.705,,,,,
05/03/2017 04:29:01 AM,22.561,,,,,
05/03/2017 05:29:01 AM,22.417,,,,,
05/03/2017 06:29:01 AM,22.274,,,,,
05/03/2017 07:29:01 AM,22.178,,,,,
05/03/2017 08:29:01 AM,22.369,,,,,
05/03/2017 09:29:01 AM,22.011,,,,,
05/03/2017 10:29:01 AM,21.032,,,,,
05/03/2017 11:29:01 AM,25.890,,,,,
05/03/2017 12:29:01 PM,6.484,,,,,
05/03/2017 01:29:01 PM,7.015,,,,,
05/03/2017 02:29:01 PM,7.645,,,,,
05/03/2017 03:29:01 PM,8.344,,,,,
05/03/2017 04:29:01 PM,9.114,,,,,
05/03/2017 05:29:01 PM,13.738,,,,,
05/03/2017 06:29:01 PM,13.329,,,,,
05/03/2017 07:29:01 PM,12.364,,,,,
05/03/2017 08:29:01 PM,11.467,,,,,
05/03/2017 09:29:01 PM,9.608,,,,,
05/03/2017 10:29:01 PM,8.543,,,,,
05/03/2017 11:29:01 PM,7.995,,,,,
05/04/2017 12:29:01 AM,7.670,,,,,
05/04/2017 01:29:01 AM,7.444,,,,,
05/04/2017 02:29:01 AM,7.343,,,,,
05/04/2017 03:29:01 AM,7.268,,,,,
05/04/2017 04:29:01 AM,7.167,,,,,
