"Plot Title: P27"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9780034)","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","Good Battery","End Of File"
05/02/2017 12:43:52 PM,24.774,,,,,,
05/02/2017 12:44:05 PM,,Logged,,,,,
05/02/2017 12:51:01 PM,,,Logged,Logged,,,
05/02/2017 12:51:19 PM,,Logged,,,,,
05/02/2017 01:43:52 PM,24.557,,,,,,
05/02/2017 02:43:52 PM,24.919,,,,,,
05/02/2017 03:43:52 PM,24.944,,,,,,
05/02/2017 04:43:52 PM,25.016,,,,,,
05/02/2017 05:43:52 PM,24.968,,,,,,
05/02/2017 06:43:52 PM,24.750,,,,,,
05/02/2017 07:43:52 PM,24.484,,,,,,
05/02/2017 08:43:52 PM,24.243,,,,,,
05/02/2017 09:43:52 PM,23.954,,,,,,
05/02/2017 10:43:52 PM,23.665,,,,,,
05/02/2017 11:43:52 PM,23.424,,,,,,
05/03/2017 12:43:52 AM,23.208,,,,,,
05/03/2017 01:43:52 AM,23.040,,,,,,
05/03/2017 02:43:52 AM,22.896,,,,,,
05/03/2017 03:43:52 AM,22.753,,,,,,
05/03/2017 04:43:52 AM,22.609,,,,,,
05/03/2017 05:43:52 AM,22.465,,,,,,
05/03/2017 06:43:52 AM,22.321,,,,,,
05/03/2017 07:43:52 AM,22.226,,,,,,
05/03/2017 08:43:52 AM,22.537,,,,,,
05/03/2017 09:43:52 AM,21.772,,,,,,
05/03/2017 10:43:52 AM,21.056,,,,,,
05/03/2017 11:43:52 AM,25.428,,,,,,
05/03/2017 12:43:52 PM,23.617,,,,Logged,,
05/03/2017 01:43:52 PM,26.695,,,,,,
05/03/2017 02:43:52 PM,28.147,,,,,,
05/03/2017 03:43:52 PM,29.190,,,,,,
05/03/2017 04:43:52 PM,28.717,,,,,,
05/03/2017 05:43:52 PM,26.965,,,,,,
05/03/2017 06:43:52 PM,25.016,,,,,,
05/03/2017 07:43:52 PM,20.436,,,,,,
05/03/2017 08:43:52 PM,14.026,,,,,,
05/03/2017 09:43:52 PM,10.956,,,,,,
05/03/2017 10:43:52 PM,9.756,,,,,,
05/03/2017 11:43:52 PM,9.114,,,,,,
05/04/2017 12:43:52 AM,8.643,,,,,,
05/04/2017 01:43:52 AM,8.270,,,,,,
05/04/2017 02:43:52 AM,7.720,,,,,,
05/04/2017 03:43:52 AM,7.444,,,,,,
05/04/2017 04:43:52 AM,7.368,,,,,,
05/04/2017 05:43:52 AM,7.343,,,,,,
05/04/2017 06:43:52 AM,7.343,,,,,,
05/04/2017 07:43:52 AM,7.494,,,,,,
05/04/2017 08:43:52 AM,8.170,,,,,,
05/04/2017 09:43:52 AM,8.941,,,,,,
05/04/2017 10:43:52 AM,12.799,,,,,,
05/04/2017 11:43:52 AM,18.319,,,,,,
05/04/2017 12:43:52 PM,22.130,,,,,,
05/04/2017 01:43:52 PM,21.963,,,,,,
05/04/2017 02:43:52 PM,25.914,,,,,,
05/04/2017 03:43:52 PM,26.793,,,,,,
05/04/2017 04:43:52 PM,28.593,,,,,,
05/04/2017 05:43:52 PM,27.161,,,,,,
05/04/2017 06:43:52 PM,24.919,,,,,,
05/04/2017 07:43:52 PM,20.103,,,,,,
05/04/2017 08:43:52 PM,15.485,,,,,,
05/04/2017 09:43:52 PM,13.425,,,,,,
05/04/2017 10:43:52 PM,12.195,,,,,,
05/04/2017 11:43:52 PM,11.832,,,,,,
05/05/2017 12:43:52 AM,11.637,,,,,,
05/05/2017 01:43:52 AM,11.832,,,,,,
05/05/2017 02:43:52 AM,11.734,,,,,,
05/05/2017 03:43:52 AM,11.175,,,,,,
05/05/2017 04:43:52 AM,9.386,,,,,,
05/05/2017 05:43:52 AM,8.717,,,,,,
05/05/2017 06:43:52 AM,8.767,,,,,,
05/05/2017 07:43:52 AM,8.717,,,,,,
05/05/2017 08:43:52 AM,8.519,,,,,,
05/05/2017 09:43:52 AM,8.270,,,,,,
05/05/2017 10:43:52 AM,11.953,,,,,,
05/05/2017 11:43:52 AM,19.603,,,,,,
05/05/2017 12:43:52 PM,24.557,,,,,,
05/05/2017 01:43:52 PM,26.353,,,,,,
05/05/2017 02:43:52 PM,21.032,,,,,,
05/05/2017 03:43:52 PM,27.112,,,,,,
05/05/2017 04:43:52 PM,27.579,,,,,,
05/05/2017 05:43:52 PM,23.930,,,,,,
05/05/2017 06:43:52 PM,15.533,,,,,,
05/05/2017 07:43:52 PM,13.353,,,,,,
05/05/2017 08:43:52 PM,10.614,,,,,,
05/05/2017 09:43:52 PM,9.682,,,,,,
05/05/2017 10:43:52 PM,8.020,,,,,,
05/05/2017 11:43:52 PM,6.864,,,,,,
05/06/2017 12:43:52 AM,6.230,,,,,,
05/06/2017 01:43:52 AM,5.770,,,,,,
05/06/2017 02:43:52 AM,5.024,,,,,,
05/06/2017 03:43:52 AM,4.480,,,,,,
05/06/2017 04:43:52 AM,3.801,,,,,,
05/06/2017 05:43:52 AM,3.327,,,,,,
05/06/2017 06:43:52 AM,2.770,,,,,,
05/06/2017 07:43:52 AM,2.477,,,,,,
05/06/2017 08:43:52 AM,2.717,,,,,,
05/06/2017 09:43:52 AM,2.850,,,,,,
05/06/2017 10:43:52 AM,8.618,,,,,,
05/06/2017 11:43:52 AM,17.368,,,,,,
05/06/2017 12:43:52 PM,23.208,,,,,,
05/06/2017 01:43:52 PM,27.702,,,,,,
05/06/2017 02:43:52 PM,30.925,,,,,,
05/06/2017 03:43:52 PM,32.458,,,,,,
05/06/2017 04:43:52 PM,32.949,,,,,,
05/06/2017 05:43:52 PM,30.925,,,,,,
05/06/2017 06:43:52 PM,25.331,,,,,,
05/06/2017 07:43:52 PM,20.984,,,,,,
05/06/2017 08:43:52 PM,15.127,,,,,,
05/06/2017 09:43:52 PM,11.273,,,,,,
05/06/2017 10:43:52 PM,9.534,,,,,,
05/06/2017 11:43:52 PM,8.195,,,,,,
05/07/2017 12:43:52 AM,7.192,,,,,,
05/07/2017 01:43:52 AM,6.535,,,,,,
05/07/2017 02:43:52 AM,6.051,,,,,,
05/07/2017 03:43:52 AM,5.514,,,,,,
05/07/2017 04:43:52 AM,5.154,,,,,,
05/07/2017 05:43:52 AM,4.636,,,,,,
05/07/2017 06:43:52 AM,4.973,,,,,,
05/07/2017 07:43:52 AM,4.532,,,,,,
05/07/2017 08:43:52 AM,5.050,,,,,,
05/07/2017 09:43:52 AM,5.024,,,,,,
05/07/2017 10:43:52 AM,11.151,,,,,,
05/07/2017 11:43:52 AM,19.817,,,,,,
05/07/2017 12:43:52 PM,24.508,,,,,,
05/07/2017 01:43:52 PM,29.916,,,,,,
05/07/2017 02:43:52 PM,32.975,,,,,,
05/07/2017 03:43:52 PM,33.914,,,,,,
05/07/2017 04:43:52 PM,32.510,,,,,,
05/07/2017 05:43:52 PM,32.098,,,,,,
05/07/2017 06:43:52 PM,27.604,,,,,,
05/07/2017 07:43:52 PM,23.472,,,,,,
05/07/2017 08:43:52 PM,16.725,,,,,,
