"Plot Title: P66"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9695077)","Coupler Detached","Bad Battery","Coupler Attached","Host Connected","End Of File"
05/02/2017 12:55:01 PM,25.598,,,,,
05/02/2017 12:55:16 PM,,Logged,,,,
05/02/2017 01:55:01 PM,24.653,,,,,
05/02/2017 02:55:01 PM,24.750,,,,,
05/02/2017 03:55:01 PM,24.750,,,,,
05/02/2017 04:55:01 PM,24.847,,,,,
05/02/2017 05:55:01 PM,24.750,,,,,
05/02/2017 06:55:01 PM,24.484,,,,,
05/02/2017 07:55:01 PM,24.267,,,,,
05/02/2017 08:55:01 PM,24.002,,,,,
05/02/2017 09:55:01 PM,23.713,,,,,
05/02/2017 10:55:01 PM,23.472,,,,,
05/02/2017 11:55:01 PM,23.232,,,,,
05/03/2017 12:55:01 AM,23.040,,,,,
05/03/2017 01:55:01 AM,22.896,,,,,
05/03/2017 02:55:01 AM,22.753,,,,,
05/03/2017 03:55:01 AM,22.609,,,,,
05/03/2017 04:55:01 AM,22.465,,,,,
05/03/2017 05:55:01 AM,22.321,,,,,
05/03/2017 06:55:01 AM,22.202,,,,,
05/03/2017 07:55:01 AM,22.130,,,,,
05/03/2017 08:55:01 AM,22.082,,,,,
05/03/2017 09:55:01 AM,20.698,,,,,
05/03/2017 10:55:01 AM,20.650,,,,,
05/03/2017 11:55:01 AM,24.629,,,,,
05/03/2017 12:55:01 PM,26.256,,,,,
05/03/2017 01:55:01 PM,16.249,,,,,
05/03/2017 02:55:01 PM,18.390,,,,,
05/03/2017 03:55:01 PM,19.080,,,,,
05/03/2017 04:55:01 PM,18.176,,,,,
05/03/2017 05:55:01 PM,17.391,,,,,
05/03/2017 06:55:01 PM,15.939,,,,,
05/03/2017 07:55:01 PM,14.697,,,,,
05/03/2017 08:55:01 PM,12.316,,,,,
05/03/2017 09:55:01 PM,9.706,,,,,
05/03/2017 10:55:01 PM,8.344,,,,,
05/03/2017 11:55:01 PM,7.594,,,,,
05/04/2017 12:55:01 AM,7.142,,,,,
05/04/2017 01:55:01 AM,6.839,,,,,
05/04/2017 02:55:01 AM,6.687,,,,,
05/04/2017 03:55:01 AM,6.458,,,,,
05/04/2017 04:55:01 AM,6.458,,,,,
05/04/2017 05:55:01 AM,6.433,,,,,
05/04/2017 06:55:01 AM,6.357,,,,,
05/04/2017 07:55:01 AM,6.255,,,,,
05/04/2017 08:55:01 AM,6.509,,,,,
05/04/2017 09:55:01 AM,6.990,,,,,
05/04/2017 10:55:01 AM,8.792,,,,,
05/04/2017 11:55:01 AM,13.522,,,,,
05/04/2017 12:55:01 PM,14.984,,,,,
05/04/2017 01:55:01 PM,14.194,,,,,
05/04/2017 02:55:01 PM,16.677,,,,,
05/04/2017 03:55:01 PM,17.177,,,,,
05/04/2017 04:55:01 PM,18.152,,,,,
05/04/2017 05:55:01 PM,17.843,,,,,
05/04/2017 06:55:01 PM,16.153,,,,,
05/04/2017 07:55:01 PM,14.122,,,,,
05/04/2017 08:55:01 PM,12.025,,,,,
05/04/2017 09:55:01 PM,10.785,,,,,
05/04/2017 10:55:01 PM,9.952,,,,,
05/04/2017 11:55:01 PM,9.435,,,,,
05/05/2017 12:55:01 AM,9.213,,,,,
05/05/2017 01:55:01 AM,9.213,,,,,
05/05/2017 02:55:01 AM,9.089,,,,,
05/05/2017 03:55:01 AM,9.064,,,,,
05/05/2017 04:55:01 AM,8.618,,,,,
05/05/2017 05:55:01 AM,8.220,,,,,
05/05/2017 06:55:01 AM,8.045,,,,,
05/05/2017 07:55:01 AM,7.920,,,,,
05/05/2017 08:55:01 AM,7.845,,,,,
05/05/2017 09:55:01 AM,7.619,,,,,
05/05/2017 10:55:01 AM,8.792,,,,,
05/05/2017 11:55:01 AM,15.294,,,,,
05/05/2017 12:55:01 PM,18.985,,,,,
05/05/2017 01:55:01 PM,17.391,,,,,
05/05/2017 02:55:01 PM,15.079,,,,,
05/05/2017 03:55:01 PM,18.461,,,,,
05/05/2017 04:55:01 PM,16.892,,,,,
05/05/2017 05:55:01 PM,15.748,,,,,
05/05/2017 06:55:01 PM,12.799,,,,,
05/05/2017 07:55:01 PM,11.127,,,,,
