logger_name,cod_sowing,serial_number,start_time,end_time,time_zone,loc,microhabitat,status,lat,long
ESSN_BER_B4,B410,9695076,2017-04-22 11:18:06,2020-10-08 09:18:06,Etc/GMT+2,BER,wet meadow,Ok,37.07081453422285,-3.2295159317672137
ESSN_BER_P4,P404,20489859,2019-05-22 15:19:44,2020-10-08 09:19:44,Etc/GMT+2,BER,open ground,Ok,37.0713191551752,-3.228527950488516
ESSN_BER_R4,R403,9780026,2017-04-22 12:00:00,2020-10-08 10:00:00,Etc/GMT+2,BER,stone,Ok,37.07106748735469,-3.2287658954751435
ESSN_BER_B5,B504,9772577,2017-04-22 11:17:23,2020-10-08 09:17:23,Etc/GMT+2,BER,wet meadow,Ok,37.07033907605958,-3.229808013513481
ESSN_BER_P5,P508,9761951,2017-04-22 11:15:28,2020-10-08 09:15:28,Etc/GMT+2,BER,open ground,Ok,37.070158527746784,-3.2291013228581
ESSN_BER_R5,R510,9761922,2017-04-22 11:16:28,2020-10-08 10:16:28,Etc/GMT+2,BER,stone,Ok,37.06993127503285,-3.229068134692436
ESSN_HZM_G1,G110,9761976,2017-05-03 13:29:40,2019-10-31 11:29:40,Etc/GMT+2,HZM,shurbland (Genista),Ok,37.101831199941174,-3.3725574176404
ESSN_HZM_R1,R110,9761956,2017-05-03 13:29:01,2020-10-02 10:29:01,Etc/GMT+2,HZM,stone,Ok,37.101850712922015,-3.3723475015975652
ESSN_HZM_E1,E109,9761966,2017-05-03 13:54:30,2020-10-02 09:54:30,Etc/GMT+2,HZM,shurbland (Juniper),Ok,37.10197542624821,-3.3726459256107795
ESSN_HZM_P1,P110,9780034,2017-05-03 13:43:52,2020-10-02 10:43:52,Etc/GMT+2,HZM,open ground,Ok,37.10192648745517,-3.3724463434869785
ESSN_HZM_G2,G202,20489857,2019-06-06 09:00:05,2020-10-02 11:00:05,Etc/GMT+2,HZM,shurbland (Genista),Ok,37.100641333965285,-3.3730172145835624
ESSN_HZM_B1,B101,9695077,2017-05-03 13:55:01,2019-10-31 12:55:01,Etc/GMT+2,HZM,wet meadow,Ok,37.100932494568774,-3.373013972275445
ESSN_HZM_B2,B203,20489860,2019-06-06 09:01:59,2019-10-31 13:01:59,Etc/GMT+2,HZM,wet meadow,Ok,37.1006234671837,-3.3731965543029556
ESSN_HZM_E2,E204,20489856,2019-06-06 09:05:00,2020-10-02 11:05:00,Etc/GMT+2,HZM,shurbland (Juniper),Ok,37.10070499442022,-3.3732504626689885
ESSN_HZM_B3,B304,9695064,2019-06-06 09:09:10,2020-10-02 12:09:10,Etc/GMT+2,HZM,wet meadow,Ok,37.09987135090505,-3.373889488127892
ESSN_HZM_R2,R201,20489858,2019-06-06 08:57:42,2020-10-02 10:57:42,Etc/GMT+2,HZM,stone,Ok,37.10087444738574,-3.3728196092504072
ESSN_HZM_R3,R310,9695081,2017-05-03 13:24:54,2020-10-02 11:24:54,Etc/GMT+2,HZM,stone,Ok,37.09998575759316,-3.3737808034642005
ESSN_HZM_G3,G307,9761924,2017-05-03 13:37:44,2020-10-02 11:37:44,Etc/GMT+2,HZM,shurbland (Genista),Ok,37.09995142701468,-3.3735836021739165
ESSN_HZM_P3,P309,9772574,2017-05-03 13:30:23,2020-10-02 11:30:23,Etc/GMT+2,HZM,open ground,Ok,37.10014191021165,-3.373741357501065
ESSN_HZM_E3,E308,9695073,2017-05-03 13:25:44,2019-06-05 13:25:44,Etc/GMT+2,HZM,shurbland (Juniper),Ok,37.10012436048838,-3.3738674293942137
ESSN_BER_P4_00,P404,9772571,2017-04-22 11:19:04,2018-12-18 14:19:04,Etc/GMT+2,BER,open ground,Broken,37.0713191551752,-3.228527950488516
